CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
SW837,BCL2,IGFR_4,10,3,0.821924287,0.5892662,0,1,0,100,7.891496,1,BCL2.IGFR_4
HCC1937,MAP2K_1,PIP5K1,1,1,1,0,100,1,0.3314485,72.76314676,7.869519,1,MAP2K_1.PIP5K1
CAL-51,AKT,ERBB,1,1,1,2.2537852,79.01156188,0.306863614,1.4159416,41.73221962,7.8161,1,AKT.ERBB
DMS-114,IAP,Topotecan,0.1,3,0.037945872,1.7433684,0,3,0.3669642,42.71032198,7.786225,1,IAP.Topotecan
NCI-H358,BCL2_2,Vinorelbine,0.03,3,0.010644821,10,54.39854861,1,0,100,7.780747,1,BCL2_2.Vinorelbine
CAL-120,PARP1,PIK3CB_PIK3CD,1,3,0.514551399,0.6778796,39.61482744,0.175690508,1.4896276,60.91551933,7.779486,1,PARP1.PIK3CB_PIK3CD
HT-1197,PARP1,PIK3C,3,3,3,0.7212474,1.01721984,0.350507653,0.5944332,52.65293523,7.750952,1,PARP1.PIK3C
T-24,BCL2_BCL2L1,FGFR,3,0.3,1,0,100,0.3,10,87.20019629,7.704466,1,BCL2_BCL2L1.FGFR
Hs-578-T,MAP2K_1,MTOR_1,1,1,0.250524773,2.265275,22.68835069,0.211395615,1.1773686,58.66149588,7.696937,1,MAP2K_1.MTOR_1
CAL-51,ESR1,MTOR_1,1,1,0.317725511,1.7850956,16.82081227,0.91773549,9.8529685,85.27926859,7.650171,1,ESR1.MTOR_1
NCI-H358,CSNK2A1_2,TNFSF10,0.03,0.1,0.008018041,1.7822184,45.75786814,0.010204861,6.3118494,18.64919278,7.644483,1,CSNK2A1_2.TNFSF10
NCI-H1563,Doxorubicin,IAP,1,0.03,0.008407486,0.9474764,17.93701593,0.009924453,10,41.99898103,7.540647,1,Doxorubicin.IAP
T-24,HSP90,PARP1,3,0.3,3,10,21.8001896,0.09801154,10,9.09866767,7.53797,1,HSP90.PARP1
A549,IAP,PIK3CB,3,3,1,0,100,3,0.2087474,61.47458918,7.526779,1,IAP.PIK3CB
HCC38,FASN,MAP2K_1,1,1,1,0.3073067,60.20677051,0.01453119,10,93.75171299,7.464531,1,FASN.MAP2K_1
MCF7,BCL2L1,MTOR_1,1,3,0.061680182,0.9339844,5.04652955,0.041437451,10,79.82551243,7.439029,1,BCL2L1.MTOR_1
HCC1395,BCL2_BCL2L1,FASN,1,1,1,0,100,1,0.9105938,81.6072213,7.325554,-3,BCL2_BCL2L1.FASN
HCC1806,AKT,AKT_1,1,1,0.219929431,1.699701,23.85626697,1,1.3434116,8.97168521,7.281745,1,AKT.AKT_1
MDA-MB-157,FASN,MAP2K_1,1,1,0.037497539,0.5245921,58.09746449,1,0.3779841,78.41273924,7.279093,1,FASN.MAP2K_1
MFM-223,AKT,AKT_1,1,1,0.216130871,1.1743659,14.46998387,0.165307885,1.1014474,3.59609066,7.25458,1,AKT.AKT_1
Hs-578-T,FASN,MTOR_1,1,1,0.239844029,2.8157838,26.76361552,1,0,100,7.24632,1,FASN.MTOR_1
A549,BCL2L1,Vinorelbine,0.1,3,0.079891963,4.0530548,0,0.021764561,0.6640794,15.52122144,7.212933,1,BCL2L1.Vinorelbine
CAMA-1,FASN,MAP2K_1,1,1,1,0,100,0.075249142,10,86.34971517,7.072155,1,FASN.MAP2K_1
DU-4475,AKT_SGK,MAP2K_1,1,1,0.027369983,1.89642,0,0.345350614,10,23.69815064,7.070362,1,AKT_SGK.MAP2K_1
DMS-114,ERBB,FGFR,3,3,0.159821513,1.9460461,14.04941357,1,0,100,7.06391,1,ERBB.FGFR
HCC1187,ESR1,MTOR_1,1,1,0.26743465,10,11.89907573,1,0,100,7.028081,1,ESR1.MTOR_1
NCI-H1703,BCL2,CSNK2A1_2,0.1,3,0.010928598,3.1118029,10.9683685,3,1.3911133,62.6102485,6.982051,1,BCL2.CSNK2A1_2
BT-549,ESR1,MTOR_1,1,1,0.517856842,0.8492211,0,1,0,100,6.927788,1,ESR1.MTOR_1
MDA-MB-175-VII,FGFR,Proteasome_2,1,1,0.016008164,2.876571,6.50321287,1,0,100,6.911937,-1,FGFR.Proteasome_2
NCI-H1563,CSNK2A1_2,PIK3CA_3,3,0.03,3,10,72.00100905,0.009221474,0.9488677,0,6.83887,1,CSNK2A1_2.PIK3CA_3
HCC1937,ESR1,FGFR,1,1,1,0,100,1,0,100,6.788332,1,ESR1.FGFR
MFM-223,AKT,PIK3CA_4,1,1,0.792366217,0.5269928,0,0.151881908,0.9840588,0,6.784097,1,AKT.PIK3CA_4
DMS-114,ALK,EGFR_2,1,3,1,10,93.80002362,0.55290023,1.0045328,0,6.777539,1,ALK.EGFR_2
MDA-MB-436,ADAM17,MTOR_1,1,75,0.195210716,3.1610905,28.63606438,1,0,100,6.743824,1,ADAM17.MTOR_1
DU-4475,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.018177457,2.9186501,2.52530354,0.186303193,10,66.71851546,6.683709,-3,PIK3CB_PIK3CD.TNKS_PARP6
CAL-148,AKT_SGK,MAP2K_1,1,1,1.00E-04,0.1,87.76962574,0.082891092,1.0564724,0,6.673409,1,AKT_SGK.MAP2K_1
HCC1143,BCL2_BCL2L1,PIK3CA_4,1,1,1,0.6831222,50.05833304,1,0.9580349,10.91934187,6.665121,1,BCL2_BCL2L1.PIK3CA_4
KATOIII,BCL2_BCL2L1_BCL2L2,FGFR,0.01,3,0.003675841,10,18.39631805,1.057155704,10,79.69938487,6.634295,1,BCL2_BCL2L1_BCL2L2.FGFR
NCI-H1703,IAP,PIK3CB,3,0.01,1.599008234,0.5723131,0,0.000497233,1.9826368,18.31680807,6.628513,1,IAP.PIK3CB
BT-20,AKT_SGK,BCL2_BCL2L1,1,1,0.951752966,1.3557006,60.20730467,0.16818708,1.4341998,67.44045129,6.61977,1,AKT_SGK.BCL2_BCL2L1
NCI-H1975,ALK,MTOR_1,3,3,0.279734765,1.499594,15.0985533,0.278266755,1.4586649,4.33055238,6.614022,1,ALK.MTOR_1
HT-1376,AKT,ATR_4,3,3,0.99706367,10,38.8989183,0.184472029,0.707903,23.29124178,6.599677,1,AKT.ATR_4
647-V,ATR_4,BCL2_BCL2L1,3,3,1.758557277,0.8117828,37.69021163,3,10,60.80000682,6.567665,1,ATR_4.BCL2_BCL2L1
HCC70,AKT,ATR_4,1,1,1,10,62.60042077,0.205833849,1.9373916,11.90678328,6.567307,1,AKT.ATR_4
DU-4475,AKT,EGFR,0.1,1,0.019229042,10,82.76719406,0.582621234,0.5089232,0,6.553296,1,AKT.EGFR
KU-19-19,Gemcitibine,PARP1,3,0.1,1,0,100,0.003772796,2.5103799,8.06896153,6.446547,1,Gemcitibine.PARP1
NCI-H522,ALK_2,PIK3CB,3,3,3,0.2834225,34.31823245,1.729657238,0.8382281,0,6.436748,1,ALK_2.PIK3CB
CAL-120,EGFR,MAP2K_1,1,0.1,0.017951961,10,93.95309874,1,0,100,6.416326,1,EGFR.MAP2K_1
Calu-6,BCL2L1,CarboTaxol,0.01,3,0.001473401,3.5826552,8.77436206,0.019670096,1.0805047,66.42593965,6.415182,1,BCL2L1.CarboTaxol
647-V,ERBB,IAP,0.003,0.1,0.000605017,1.5861738,3.7193425,0.098724477,0.9914944,58.23374099,6.407124,1,ERBB.IAP
NCI-H2291,IAP,PIK3CB,3,3,3,0.3826393,63.6450859,3,10,52.80000695,6.385782,1,IAP.PIK3CB
NCI-H1703,IAP,TOP2_2,1,0.01,0.326679192,1.808263,6.34553613,0.000490484,2.3454402,20.20155285,6.339869,1,IAP.TOP2_2
MDA-MB-468,AKT,TNKS_PARP6,1,1,0.030741357,1.8059137,1.54616889,0.561023867,1.0597808,15.95117045,6.330129,1,AKT.TNKS_PARP6
NCI-H2085,CSNK2A1_2,TNFSF10,0.03,0.03,1,0,100,0.015734729,1.3343691,2.56934264,6.329147,1,CSNK2A1_2.TNFSF10
UM-UC-3,HSP90,MAP2K_1,3,0.3,0.245176773,3.7164188,58.34980602,0.20420332,3.2415273,0,6.221262,1,HSP90.MAP2K_1
HCC1569,ESR1_1,MTOR_1,1,3,0.13721429,0.4081398,0,3,0.9983261,49.94724014,6.21804,1,ESR1_1.MTOR_1
HCC1143,ADAM17,MTOR_1,1,75,0.353192107,10,62.6988555,1,0,100,6.215895,-1,ADAM17.MTOR_1
BFTC-905,EG5,PIK3CB_PIK3CD,3,0.003,0.215325621,1.0394196,22.730217,0.002111533,4.1267448,0,6.20384,1,EG5.PIK3CB_PIK3CD
SW48,IAP,SN38,0.03,1,0.001801776,1.1309729,0,1.00E-04,0.1,79.42049069,6.202266,1,IAP.SN38
NCI-H1703,PIK3CB,Topotecan,0.1,3,0.06876649,2.446461,0,2.279181804,0.5295713,0,6.193549,1,PIK3CB.Topotecan
MDA-MB-361,AKT_1,BCL2_2,3,3,3,0.4047812,77.19299027,0.104978974,0.9642915,17.27085176,6.184136,1,AKT_1.BCL2_2
HCC1187,BCL2_2,EGFR_2,3,3,1,0,100,1,0,100,6.17721,-3,BCL2_2.EGFR_2
HCC1569,ERBB,MTOR_1,1,3,1.00E-04,0.1,66.33521891,3,0.2152073,67.56869582,6.16941,1,ERBB.MTOR_1
DMS-114,ALK,CSNK2A1_2,0.03,3,0.007353396,2.673418,13.58934894,0.466141259,0.8517702,0,6.1302,1,ALK.CSNK2A1_2
HCC1395,FGFR,SLC16A4,1,1,0.420117511,10,93.9989723,0.014405257,1.4109078,45.87970243,6.107714,1,FGFR.SLC16A4
MDA-MB-453,AKT,PIK3CA_4,1,1,0.148812841,0.874294,0,0.316040605,0.9931648,0,6.010587,1,AKT.PIK3CA_4
HCC70,PIK3C,PIM1,1,1,1,10,87.00003078,0.753947075,1.351109,0,5.983637,1,PIK3C.PIM1
HCC1187,MTOR_1,TNKS_PARP6,1,1,0.017129454,1.9066356,4.2402009,0.268381138,10,12.59869868,5.883256,1,MTOR_1.TNKS_PARP6
HCC1419,HSP90,MAP2K_1,1,1,0.19623204,1.9863358,64.71007508,0.082384241,1.7496869,14.19487636,5.856948,1,HSP90.MAP2K_1
HCC1395,AKT,ERBB,3,3,3,10,80.60081961,0.04063998,0.441693,40.35271606,5.833781,-1,AKT.ERBB
Hs-578-T,ERBB,PIK3CA_4,1,1,0.304208285,10,81.29984867,0.173763912,10,92.35577792,5.811497,1,ERBB.PIK3CA_4
HCC1937,FASN,MAP2K_1,1,1,1,0.3017898,75.49217404,1,0,100,5.805401,1,FASN.MAP2K_1
MDA-MB-231,ADAM17,PIK3C,1,75,0.180376202,0.8966292,63.60149112,75,0.3864103,87.8022141,5.78087,1,ADAM17.PIK3C
M14,ALK_IGFR,MTOR_1,1,1,0.999974933,9.9999999,45.00688159,0.380500763,10,58.79737702,5.749554,-1,ALK_IGFR.MTOR_1
HCC38,ADAM17,MAP2K_1,1,75,1,0,100,1,0,100,5.742608,1,ADAM17.MAP2K_1
CAMA-1,AKT_1,ALK_IGFR,1,1,1,0,100,0.318279177,10,31.79925384,5.739879,1,AKT_1.ALK_IGFR
SW837,IAP,PIK3CB,10,1,1.132809296,0.6574268,84.17865345,0.20423205,2.1992969,73.00018608,5.737254,1,IAP.PIK3CB
HCC1395,ADAM17,MAP2K_1,1,75,0.076732378,0.7601594,76.19423244,75,0.4515384,86.36457426,5.722309,1,ADAM17.MAP2K_1
HCC38,BCL2_BCL2L1,EGFR,0.1,1,0.1,10,93.80017016,0.264044718,10,10.59982968,5.717349,1,BCL2_BCL2L1.EGFR
Hs-578-T,AKT,ERBB,1,1,1,0,100,0.169301857,1.1627798,55.09149299,5.710976,1,AKT.ERBB
HCC1428,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.028042388,10,45.36644702,1,0,100,5.694801,1,PIK3CB_PIK3CD.TNKS_PARP6
BT-20,MTOR_1,PIK3C,3,3,0.671590667,0.5421931,0,0.136340046,0.9398378,0,5.682313,1,MTOR_1.PIK3C
NCI-H358,BCL2L1,IAP,3,3,0.021423164,1.4039148,83.63325048,0.19245185,4.4106952,87.40993223,5.632736,1,BCL2L1.IAP
NCI-H2291,CarboTaxol,CSNK2A1_2,0.01,0.3,0.002637841,0.8645188,0,0.002754735,1.0528603,46.91139597,5.587755,1,CarboTaxol.CSNK2A1_2
HCC1428,ADAM17,MTOR_1,1,75,0.325342324,10,50.59933862,1,0,100,5.565547,1,ADAM17.MTOR_1
CAMA-1,ESR1_3,MTOR_1,1,1,0.155000325,1.588851,56.49951779,1,0,100,5.519751,1,ESR1_3.MTOR_1
HCC1806,AKT,TNKS_PARP6,1,1,0.01413666,2.0203636,1.7263344,1,1.4724148,17.7415556,5.418103,1,AKT.TNKS_PARP6
MDA-MB-453,AKT,FGFR,1,1,0.150653737,5.7580902,28.33235086,0.250688448,1.6062007,21.9578475,5.40904,1,AKT.FGFR
KU-19-19,ATM,Gemcitibine,0.1,3,0.002894122,10,8.29982675,3,10,85.8000745,5.381046,1,ATM.Gemcitibine
HCC1187,PIK3CB_PIK3CD,SLC16A4,1,1,1,0,100,0.335045627,10,78.2996002,5.336116,1,PIK3CB_PIK3CD.SLC16A4
NCI-H1975,CSNK2A1_2,SYK,3,0.03,1.591223276,1.3248922,3.77860923,0.020250982,2.0617816,0,5.26699,1,CSNK2A1_2.SYK
CAL-148,MAP2K_1,PIP5K1,1,1,1.00E-04,0.1,92.01071176,1.00E-04,0.1,77.29351997,5.238078,1,MAP2K_1.PIP5K1
MFM-223,ESR1,MAP2K_1,1,1,1,0,100,1,0,100,5.232049,-3,ESR1.MAP2K_1
BT-549,ALK_IGFR,MTOR_1,1,1,0.401844968,0.8906046,0,0.858867644,1.3363897,42.42015332,5.22171,1,ALK_IGFR.MTOR_1
NCI-H520,BCL2,CSNK2A1_2,0.03,3,0.007215258,1.6013078,15.40383688,1,0,100,5.213011,1,BCL2.CSNK2A1_2
NCI-H520,ALK,PIK3C,1,3,0.359978173,1.5527859,24.23661794,2.911864033,10,0,5.202981,1,ALK.PIK3C
M14,PIK3C,PIP5K1,1,1,0.462065512,10,92.39662837,0.5303978,1.7896487,27.82644727,5.194212,1,PIK3C.PIP5K1
CAMA-1,ERBB,MTOR_1,1,3,0.152224262,2.3035334,18.48662387,1,0,100,5.194003,1,ERBB.MTOR_1
SW620,MAP2K_1,PTK2,1,0.3,0.687201313,2.3783419,0,0.282951952,0.855391,10.13490766,5.172644,1,MAP2K_1.PTK2
VCaP,AKT,ERBB,3,1,0.814719284,2.5650621,77.34244917,0.437596829,1.3963082,57.87553132,5.142114,1,AKT.ERBB
NCI-H358,IAP,PIK3C,3,3,0.616998896,1.1705845,63.26403798,3.00E-04,0.1,82.56541709,5.12031,1,IAP.PIK3C
HCC1187,AKT_1,ESR1_1,3,3,1.029386509,10,69.39930543,0.048849554,0.5855834,20.9511988,5.116957,1,AKT_1.ESR1_1
HCC1428,AKT_SGK,FGFR,1,1,1,0,100,0.167006102,10,88.70370038,5.083751,1,AKT_SGK.FGFR
C32,IGFR_4,MAP2K_1,3,10,0.125885864,1.1588941,22.35968009,2.797960402,2.6436755,8.15120332,5.074641,1,IGFR_4.MAP2K_1
Calu-6,BCL2,CarboTaxol,0.01,3,0.001992065,3.3630234,20.30964263,1.432373658,0.6078514,7.77112712,5.015081,1,BCL2.CarboTaxol
J82,EG5,PARP1,3,3,1.097830027,10,87.59946452,3.00E-04,0.1,0.84264524,5.014957,1,EG5.PARP1
T-24,MAP2K_1,PIM1,3,3,1,0,100,0.300348627,1.1875173,23.169185,5.013978,1,MAP2K_1.PIM1
KU-19-19,ATR_4,BCL2_BCL2L1,3,3,3,10,56.20019633,3,10,0.40216739,5.012003,-1,ATR_4.BCL2_BCL2L1
DMS-114,BCL2_2,Vinorelbine,0.1,3,0.03716673,1.5070517,0,0.092980304,1.0008278,82.17352759,5.001485,1,BCL2_2.Vinorelbine
MDA-MB-157,ADAM17,PIK3CB_PIK3CD,1,75,1,0.219944,0.96308739,0.729082264,10,87.89998986,4.985632,1,ADAM17.PIK3CB_PIK3CD
NCI-H1563,IAP,Vinorelbine,0.03,1,0.03,1.8213704,31.7661959,0.010354735,0.9602846,16.18455829,4.970321,1,IAP.Vinorelbine
NCI-H226,CarboTaxol,CSNK2A1_2,0.1,0.01,0.004267435,1.9579449,0,0.001605554,3.1918783,22.16610084,4.949405,-2,CarboTaxol.CSNK2A1_2
CAL-120,FGFR,PIK3C_MTOR,1,3,1.00E-04,0.1,94.94340993,0.082194923,0.4788812,38.19259513,4.902747,1,FGFR.PIK3C_MTOR
MDA-MB-453,MAP2K_1,MTOR_1,1,3,0.066764505,2.3861252,10.9995738,1.068672151,2.3066375,74.6777264,4.862411,1,MAP2K_1.MTOR_1
COLO-205,IAP,IGFR_3,10,1,0.572456351,1.7427636,27.3172216,1,10,49.20009446,4.858052,1,IAP.IGFR_3
NCI-H520,FGFR,Proteasome_2,0.1,3,0.002729956,2.6992541,3.65286146,3,0.4121204,22.83861814,4.850328,1,FGFR.Proteasome_2
CAMA-1,PARP1,PIK3C,1,3,0.487736995,3.8244416,54.02688159,3,0.5394622,28.96811904,4.757508,1,PARP1.PIK3C
CAL-51,ESR1,FGFR,1,1,1,10,90.40005905,1,0,100,4.746579,1,ESR1.FGFR
HCC1428,ERBB,PIK3CA_4,1,1,1,0.1782707,83.93750259,1.00E-04,0.1,89.86709616,4.725561,1,ERBB.PIK3CA_4
HCC1806,ESR1,MTOR_1,1,1,0.211206786,2.0155687,14.28857738,1,0,100,4.708188,1,ESR1.MTOR_1
NCI-SNU-16,FGFR,MTOR_1,1,0.01,0.487431654,2.0219415,9.80068633,0.007512835,2.7158804,0,4.670391,1,FGFR.MTOR_1
DMS-114,ADAM17,PIK3C,3,10,1.344408466,0.8486816,0,0.001,0.1,89.21370468,4.655709,1,ADAM17.PIK3C
DU-4475,BCL2_BCL2L1,SLC16A4,1,1,1,10,74.40020089,0.008105948,10,0.09994977,4.567143,1,BCL2_BCL2L1.SLC16A4
HCC70,AKT_SGK,PIK3C,1,1,0.688612007,1.2164847,0,0.471913734,0.940141,0,4.560273,1,AKT_SGK.PIK3C
HT-1376,ATR_4,IAP,3,3,0.013438617,0.2604748,0,0.998573873,10,30.4985127,4.55246,-1,ATR_4.IAP
HT-1376,IAP,TNF,0.1,3,0.001752433,0.1,37.75427112,0.00267813,0.1915879,0,4.550227,1,IAP.TNF
HCC38,MAP2K_1,MTOR_1,1,1,1,0.5380902,43.60465865,1.00E-04,0.1,88.55524637,4.534253,1,MAP2K_1.MTOR_1
CAL-51,BCL2_BCL2L1,FGFR,1,1,0.086902541,10,85.79987976,1,1.1658267,70.90039986,4.53158,1,BCL2_BCL2L1.FGFR
CAL-51,AKT_1,ALK_IGFR,1,1,1,0.6118943,29.06636303,1,0.833864,7.33100615,4.471512,1,AKT_1.ALK_IGFR
Calu-3,BCL2L1,CarboTaxol,0.003,3,0.003,10,17.2002642,1,0,100,4.402617,-1,BCL2L1.CarboTaxol
UACC-812,FGFR,Proteasome_2,1,1,0.000327257,9.7986036,0,0.2308134,0.1,94.73861428,4.402312,1,FGFR.Proteasome_2
CAL-120,ADAM17,AKT,1,75,0.183214322,2.5036777,60.41199948,1,0,100,4.40141,-1,ADAM17.AKT
HCC1500,AKT,Chloroquine,1,1,0.356286842,10,71.69906182,1,1.4519821,34.25977111,4.386597,1,AKT.Chloroquine
SW780,Cisplatin,PARP1,3,3,3,0.2131305,85.07401845,1.450359936,1.6348709,49.40402668,4.376081,1,Cisplatin.PARP1
MCF7,FGFR,Proteasome_2,1,1,1.00E-04,0.4929726,1.2765748,1,10,89.40002604,4.365294,1,FGFR.Proteasome_2
NCI-H2228,ALK,EGFR_2,1,3,1,0.1486843,19.28137991,0.030696499,0.8487233,0,4.356899,1,ALK.EGFR_2
HCC1187,MAP2K_1,PIP5K1,1,1,1,0,100,0.1359801,4.6796414,63.21152583,4.297028,1,MAP2K_1.PIP5K1
MDA-MB-436,PARP1,PIK3C,1,3,0.248268772,1.8737609,53.58403281,0.046719578,0.3671211,6.1643008,4.259663,1,PARP1.PIK3C
HCC1187,AKT,EGFR,0.1,1,1,0,100,0.295801462,1.4257239,55.7838228,4.246545,1,AKT.EGFR
HCC1937,FGFR,MTOR_1,1,1,0.356456016,2.4517083,76.6830065,1,0,100,4.230704,1,FGFR.MTOR_1
MDA-MB-436,AKT,Chloroquine,10,3,1,0,100,0.052361519,0.4564576,60.2285685,4.170554,1,AKT.Chloroquine
MDA-MB-468,ATR_4,MAP2K_1,1,1,0.135679785,1.9465219,87.32183342,0.381515285,10,80.69873863,4.146128,1,ATR_4.MAP2K_1
MDA-MB-415,AKT_1,EGFR_2,3,3,1,0,100,0.192985332,1.5193649,40.32136795,4.117219,1,AKT_1.EGFR_2
CAMA-1,AKT,PIP5K1,1,1,0.400556318,10,90.49898961,0.126079252,1.3424664,12.49773864,4.095683,1,AKT.PIP5K1
HCC1143,BCL2_BCL2L1,SLC16A4,1,1,1.00E-04,0.1,91.35543813,1,0.8029025,11.54098852,4.043294,1,BCL2_BCL2L1.SLC16A4
HCC1187,MTOR_1,PIK3CA_4,1,1,0.142865445,1.4714231,50.47990522,0.224989694,5.1634793,11.459171,4.002826,1,MTOR_1.PIK3CA_4
HT-1197,Gemcitibine,PARP1,3,0.1,3,0.6143589,36.70097184,0.008388433,2.4732306,24.13018969,4.000516,1,Gemcitibine.PARP1
MDA-MB-468,AKT,PIP5K1,1,1,1,0,100,0.346965087,10,62.49904408,3.989298,1,AKT.PIP5K1
HCC1806,ERBB,MTOR_1,1,1,0.171633887,1.4746113,9.69665008,1,0,100,3.972506,1,ERBB.MTOR_1
MFM-223,FASN,MAP2K_1,1,1,1,0,100,1,0.7880327,85.04062131,3.968367,1,FASN.MAP2K_1
KATOIII,FGFR,WNT,3,0.01,0.298753851,1.2886504,8.14690748,0.003780634,10,18.59512959,3.94674,1,FGFR.WNT
HCC1395,PIK3CB_PIK3CD,SLC16A4,1,1,1,10,84.80004976,0.029760876,0.6094864,59.38842156,3.935983,1,PIK3CB_PIK3CD.SLC16A4
CAL-120,MAP2K_1,SLC16A4,1,1,1,0,100,1,10,87.20005648,3.876511,1,MAP2K_1.SLC16A4
HT-1376,EG5,PIM1,3,0.1,0.030926325,10,80.4499699,0.001690882,4.053345,32.17615849,3.801649,1,EG5.PIM1
UM-UC-3,PIK3C,TNFSF10,0.03,3,1,0,100,2.380573666,1.2562603,0,3.792637,1,PIK3C.TNFSF10
CAMA-1,ADAM17,BCL2_BCL2L1,1,75,1,0.3516074,65.8142818,0.0075,0.1,92.50811196,3.764896,1,ADAM17.BCL2_BCL2L1
VM-CUB-1,FGFR,MTOR_1,1,3,0.574710797,1.3961715,20.41859563,0.041128595,3.4318495,94.46094137,3.76196,-3,FGFR.MTOR_1
MCF7,HDAC_4,PARP1,1,1,0.301324056,1.7789393,80.70803124,1,1.3935102,15.53841547,3.734453,1,HDAC_4.PARP1
A549,ATR_4,CarboTaxol,0.01,3,0.002077424,4.4695714,18.12677288,2.702447547,2.2148718,0,3.714424,-3,ATR_4.CarboTaxol
NCI-H2170,CSNK2A1_2,PIK3CA_3,3,0.03,3,0.9139279,13.70133154,0.009301184,10,18.19915765,3.707614,1,CSNK2A1_2.PIK3CA_3
HCC38,ADAM17,FGFR,1,75,0.023901169,3.7962899,85.60681542,1,0,100,3.676564,1,ADAM17.FGFR
HT-1376,IAP,PARP1,3,3,0.046716075,1.3757463,77.93191388,0.002596051,0.1777281,0,3.646937,1,IAP.PARP1
M14,FGFR,TNKS_PARP6,1,1,0.172157017,7.9405192,16.69976665,1,0,100,3.64321,-3,FGFR.TNKS_PARP6
HCC1395,ADAM17,FGFR,1,75,0.013427301,1.5466845,47.80606311,75,10,94.0002773,3.629126,1,ADAM17.FGFR
MDA-MB-453,ESR1,MAP2K_1,1,1,0.587015342,1.3012013,45.97811225,0.275304353,10,87.8999035,3.625408,1,ESR1.MAP2K_1
HCC1143,FGFR,MTOR_1,1,1,0.413837669,1.3312338,22.38945042,1,0,100,3.578846,1,FGFR.MTOR_1
T-24,PIK3C,PIM1,3,3,1,0,100,1.159049737,10,44.0958557,3.578123,1,PIK3C.PIM1
NCI-H2291,CSNK2A1_2,Gemcitabine,0.03,0.01,0.001817093,1.2503246,21.1666415,0.002927981,1.10108,5.36790352,3.564371,1,CSNK2A1_2.Gemcitabine
HCC1937,MTOR_1,PIK3CA_4,1,1,0.278073443,10,86.19983051,1,0.9004966,50.87999772,3.53733,1,MTOR_1.PIK3CA_4
NCI-H226,BCL2_2,Vinorelbine,0.03,3,0.006905907,1.3135374,7.4613112,3,0.4456397,61.37554044,3.517094,1,BCL2_2.Vinorelbine
NCI-H1703,Doxorubicin,IAP,0.01,0.1,0.000440141,1.9300815,20.9081225,0.021745839,2.1511692,13.60502483,3.495408,1,Doxorubicin.IAP
BT-20,AKT,PIK3C_2,1,1,0.859817884,1.2863173,0,1,0.7339212,44.03727212,3.443067,1,AKT.PIK3C_2
Hs-578-T,MTOR_1,TNKS_PARP6,1,1,0.023504379,1.6560947,13.67171083,0.096110207,2.2739184,31.82185101,3.433078,1,MTOR_1.TNKS_PARP6
CAL-148,FGFR,MTOR_1,1,1,0.234056431,2.4505796,70.35584975,1,0,100,3.410365,1,FGFR.MTOR_1
BT-549,PIK3C_2,PIK3CA_4,1,1,1,0.5281692,56.11762335,0.631948449,1.1649711,0,3.404341,1,PIK3C_2.PIK3CA_4
HCC1937,MTOR_1,TNKS_PARP6,1,1,0.043793709,2.087094,47.17094144,1,0.9297271,59.55641917,3.399323,1,MTOR_1.TNKS_PARP6
HCC1806,ESR1,FGFR,1,1,1.00E-04,0.1,92.28297634,1.00E-04,0.1,94.4258199,3.388686,1,ESR1.FGFR
HCC1143,PIK3CB_PIK3CD,SLC16A4,1,1,1,0,100,1,0.6082763,30.23352324,3.361126,1,PIK3CB_PIK3CD.SLC16A4
CAL-51,EGFR,MAP2K_1,1,0.1,1,10,83.20009228,0.1,10,78.40000239,3.35151,1,EGFR.MAP2K_1
SW948,CHEK1,IAP,1,1,0.316797486,10,84.1998112,0.402907036,2.9062687,0,3.343275,-1,CHEK1.IAP
DU-4475,ADAM17,BCL2_BCL2L1,1,75,0.008056722,10,0.07495373,37.43606425,1.3723419,30.85452463,3.335391,1,ADAM17.BCL2_BCL2L1
BT-549,MTOR_1,PIK3CA_4,1,1,1,0.5436015,40.39458626,0.335867464,0.9712628,0,3.326553,1,MTOR_1.PIK3CA_4
MDA-MB-453,PARP1,PIK3C,1,3,0.210465161,1.568614,4.54353401,1.769475169,0.7643741,0,3.31332,1,PARP1.PIK3C
Calu-3,ADAM17,PIK3C,3,10,3,10,18.40037269,1,0,100,3.305902,1,ADAM17.PIK3C
HCC1937,ESR1,MAP2K_1,1,1,0.84573123,0.6055105,69.10984591,1,0,100,3.267776,1,ESR1.MAP2K_1
MDA-MB-157,AKT,EGFR,0.1,1,0.1,2.0053262,67.47582887,0.06979127,4.7306785,78.62833135,3.244543,1,AKT.EGFR
HCC1428,MAP2K_1,MTOR_1,1,1,0.313476237,10,48.19947319,1,0,100,3.243592,1,MAP2K_1.MTOR_1
HT-1376,Gemcitibine,PARP1,3,0.1,3,10,85.20011504,0.008580482,4.2099336,26.27498825,3.237665,1,Gemcitibine.PARP1
HCC1395,AKT_1,PIK3C_2,1,1,0.343621193,10,52.59890869,0.324677791,1.0673983,35.48351248,3.220078,1,AKT_1.PIK3C_2
BFTC-905,IAP,PIK3C,3,3,1.262817916,0.8282589,0,0.000603903,0.2867603,0,3.215552,1,IAP.PIK3C
